Question,Label
"Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",evaluation
"Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",evaluation
How effective are . . .?,evaluation
How would you decide about...?,evaluation
How would you feel if . . .?,evaluation
How would you have handled . . .?,evaluation
"improved, reformed or rejected?",evaluation
"In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",evaluation
Is there a better solution to . . .?,evaluation
Judge aesthetic qualities and relationship to future values.,evaluation
judge the difficulty level for yourself.,evaluation
Judge the value of . . .?,evaluation
Judge whether it would be possible to survive on an island alone and blinded. Write about it.,evaluation
Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,evaluation
Justify and nominate ways to prevent animal extinction.,evaluation
Justify the title To Kill a Mockingbird .,evaluation
Listen to two classmates conversing on tape and critique their performance on the basis of the skills covered this semester.,evaluation
Place the following in order of priority...,evaluation
Predict what will happen next in.,evaluation
Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,evaluation
Recommend how our classroom or playground could be improved.,evaluation
Select the best proposal for a proposed water treatment plant.,evaluation
Select the most effective solution.,evaluation
suggest ways in which it could have responded more effectively,evaluation
decide about the most exciting part of the book. being sure to give at least three reasons why?,evaluation
Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,evaluation
"Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.  ",evaluation
"Using the basic principles of socialism discussed in this course, evaluate the US economic system by providing key arguments to support your judgment.",evaluation
Was Hemingway a great American writer? First you will need to define greatness.,evaluation
What changes to . . . would you recommend?,evaluation
What criteria would you use to assess the validity of a business contract?,evaluation
What criteria would you use to assess...?,evaluation
What do you think about . . .?,evaluation
What is part of this book did you like best. Tell why you like it?,evaluation
What is the most important...?,evaluation
Which of the following actions would probably be least effective in determining the answer? ,evaluation
"Which of the two algorithms, bubblesort or quicksort, is more efficient? Justify your answer.",evaluation
Would you have liked to have had Cinderella for a sister? Explain why or why not.,evaluation
Write a list of criteria to judge the Willy raps.,evaluation
Revise the story and specify the type of audience that would enjoy this book.,evaluation
 Estimate the epicentral coordinates of the earth-quake,evaluation
 Estimate the risk of serious illness for consumers in different susceptible population groups,evaluation
Estimate expenditure on HIV/AIDS education,evaluation
Estimate the difficulty of the question,evaluation
Estimate roughly how long the collision process takes,evaluation
What do you think is the best thing about coming to Viestal?,evaluation
What do you think is the mass and why,evaluation
What do you think are the strengths of using integrated math in your program?,evaluation
Do you think that this statement conveys the idea that i am trying to portray,evaluation
How do you think the community should grow or change,evaluation
How Do You Think One Should Reason in Making Ethical Decisions in Business,evaluation
